Zero Motorcycles,USA
Bugatti,France
Citroen,France
Peugeot,France
Dodge,USA
Chrysler,USA
FWD Corp.,USA
Ford,USA
Freightliner,USA
General Motors,USA
Chevrolet,USA
Pontiac,USA
Oldsmobile,USA
Buick,USA
Cadillac,USA
Saturn,USA
GMC,USA
Honda,Japan
Harley-Davidson,USA
International Truck and Engine Corp. USA,USA
Jeep,USA
Lincoln,USA
Mack Truck,USA
Mynatt Truck & Equipment,USA
Mercury,USA
Nissan,Japan
NUMMI,USA
Plymouth,USA
John Deere,USA
Roadrunner,USA
Volkswagen,Germany
Kenworth,USA
Peterbilt,USA
Mazda,Japan
Bombardier Recreational Products,Canada
CAMI,Canada
Sterling,USA
Hyundai,South Korea
Nova Bus,Canada
Toyota,Japan
Triple E,Canada
Western Star,USA
RAM,USA
Polaris Industries,USA
Federal Motors Inc.,USA
Emergency One,UK
Mercedes-Benz,Germany
Pierce Manufacturing Inc.,USA
Subaru-Isuzu Automotive,USA
Lumen Motors,USA
Arctic Cat Inc.,USA
BMW,Germany
Frt-Thomas Bus,USA
Volvo,Sweden
Indian Motorcycle,India
Tesla,USA
MAN,Germany
Holden,Australia
Mitsubishi,Japan
Renault,France
Suzuki,Japan
Fiat,Italy
Audi,Germany
Scania,Sweden
Isuzu,Japan
Daihatsu,Japan
Subaru,Japan
Hino,Japan
Kawasaki,Japan
Yamaha,Japan
Daewoo,South Korea
Hyosung (motorcycles),South Korea
Daelim (motorcycles),South Korea
Kia,South Korea
SsangYong,South Korea
Xingyue Group,China
KangDi,China
Zhejiang,China
Merato Motorcycle,China
Jinan Qingqi,China
Sundiro Honda Motorcycle,China
Changzhou Yamasaki Motorcycle,China
Geely Motorcycles,China
Zongshen Piaggio,China
Yamaha (motorcycles),Japan
Hangzhou Chunfeng Motorcycles,China
Dong Feng Peugeot-Citroen,China
Dandong Huanghai,China
Dezhou Fulu Vehicle (motorcycles),China
SouEast Motor,China
Zhongtong,China
Beijing Benz,China
FAW,China
Taizhou Chuanl Motorcycle Manufacturing,China
Changshu Light Motorcycle Factory,China
Dong Feng,China
Qoros,China
BYD Auto,China
Beijing Automotive Industry Holding,China
JAC,China
Suzhou King Long,China
Hunan Changfeng Manufacture Joint-Stock,China
Linhai,China
Polestar,Sweden
Shanghai General Motors,China
SAIC Motor,China
Shanghai Volkswagen,China
Brilliance Zhonghua,China
National Electric Vehicle Sweden,Sweden
Guangqi Honda,China
Chery,China
Dong Feng Sokon Motor Company,China
Isuzu Guangzhou,China
Shaanxi Automobile Group,China
MAN China,China
Zhongshan,China
Yutong Zhengzhou,China
Chongqing Shuangzing Mech & Elec,China
Mahindra,India
GM India,India
Tata Motors,India
Ashok Leyland,India
Volvo Eicher Commercial Vehicles,India
Bajaj Auto,India
Shuttle Cars India,India
Daimler India Commercial Vehicles,India
Iran Khodro,Iran
Pars Khodro,Iran
OTOKAR,Turkey
TEMSA,Turkey
Tofay Turk,Turkey
BMC,Turkey
Proton,Malaysia
NAZA,Malaysia
Evoke Electric (motorcycle),Hong Kong
Steyr Trucks,Austria
Aeon Motor,Taiwan
Kymco,Taiwan
Sanyang SYM,Taiwan
Adly,Taiwan
CPI,Taiwan
Optare,UK
Jaguar,UK
Land Rover,UK
Rover,UK
Austin-Rover,UK
McLaren,UK
Rolls Royce,UK
Bentley,UK
Lotus Cars,UK
DeLorean Motor Cars,UK
Aston,UK
iFor Williams,UK
LDV,UK
Alexander Dennis,UK
Vauxhall,UK
JCB Research,UK
Triumph,UK
Solaris Bus & Coach,Poland
FSC,Poland
FSO,Poland
TA-NO,Poland
Micro Compact Car AG,Germany
QUANTYA Swiss Electric Movement,Switzerland
SOR buses,Czech Republic
Skoda,Czech Republic
Karosa,Czech Republic
Tatra,Czech Republic
TAZ,Slovakia
Ikarus Bus,Hungary
Dacia,Romania
Oltcit,Romania
ARO,Romania
Roman SA,Romania
Rocar,Romania
Euro Bus Diamond,Romania
Astra Bus,Romania
UTB,Romania
Magna Steyr Puch,Austria
KTM,Austria
Talbot,UK
Matra,France
MBK Motorcycles,France
SOVAB,France
Irisbus,France
Renault-Nissan,France
Carrocerias Ayats,Spain
SEAT,Spain
Opel,Germany
Derbi (motorcycles),Spain
TAURO,Spain
Yugo,Yugoslavia
RUF,Germany
Neoplan,Germany
BMW Motorrad,Germany
Daimler,Germany
Evobus GmbH,Germany
Iveco Magirus,Germany
Fahrzeugwerk Bernard Krone,Germany
Setra,Germany
MAN Germany,Germany
smart,Germany
MINI,Germany
Porsche,Germany
Schmitz-Cargobull,Germany
PAZ,Russia
AvtoTor,Russia
Spyker,Netherlands
DAF,Netherlands
VDL Bus & Coach,Netherlands
AvtoVAZ,Russia
KAMAZ,Russia
GAZ,Russia
UAZ,Russia
Trolza,Russia
LiAZ,Czech Republic
MAZ,Belarus
AvtoZAZ,Ukraine
Volvo Trucks,Sweden
Van Hool,Belgian
Saab-Valmet,Finland
Saab,Sweden
Koenigsegg,Sweden
Saab NEVS,Sweden
Husaberg,Sweden
Marussia,Russia
Autobianchi,Italy
Maserati,Italy
Vespa,Italy
Alfa Romeo,Italy
Benelli,Italy
Iveco,Italy
Cagiva,Italy
Beta Motor,Italy
Aprilia,Italy
Ferrari,Italy
Ducati,Italy
Moto Guzzi,Italy
Lamborghini,Italy
Malaguti,Italy
Innocenti,Italy
Husqvarna Motorcycles,Italy
Lancia,Austria
