538,Zero Motorcycles
795,Bugatti
935,Citroen
936,Peugeot
1B3,Dodge
1C3,Chrysler
1C4,Chrysler
1C6,Chrysler
1D3,Dodge
1F9,FWD Corp.
1FA,Ford
1FB,Ford
1FC,Ford
1FD,Ford
1FM,Ford
1FT,Ford
1FU,Freightliner
1FV,Freightliner
1G,General Motors
1G1,Chevrolet
1G2,Pontiac
1G3,Oldsmobile
1G4,Buick
1G6,Cadillac
1G8,Saturn
1GC,Chevrolet
1GM,Pontiac
1GT,GMC
1GY,Cadillac
1HG,Honda
1HD,Harley-Davidson
1HT,International Truck and Engine Corp. USA
1J4,Jeep
1J8,Jeep
1L,Lincoln
1M1,Mack Truck
1M2,Mack Truck
1M3,Mack Truck
1M4,Mack Truck
1M9,Mynatt Truck & Equipment
1ME,Mercury
1N,Nissan
1NX,NUMMI
1P3,Plymouth
1PY,John Deere
1R9,Roadrunner
1VW,Volkswagen
1XK,Kenworth
1XP,Peterbilt
1YV,Mazda
1ZV,Ford
2A4,Chrysler
2B3,Dodge
2B7,Dodge
2BP,Bombardier Recreational Products
2C3,Chrysler
2CN,CAMI
2D3,Dodge
2FA,Ford
2FB,Ford
2FC,Ford
2FM,Ford
2FT,Ford
2FU,Freightliner
2FV,Freightliner
2FZ,Sterling
2G1,Chevrolet
2G2,Pontiac
2G3,Oldsmobile
2G4,Buick
2Gx,General Motors
2HG,Honda
2HJ,Honda
2HK,Honda
2HM,Hyundai
2M,Mercury
2NV,Nova Bus
2P3,Plymouth
2T,Toyota
2TP,Triple E
2V4,Volkswagen
2V8,Volkswagen
2WK,Western Star
2WL,Western Star
2WM,Western Star
3C4,Chrysler
3C6,RAM
3D3,Dodge
3D4,Dodge
3FA,Ford
3FE,Ford
3G,General Motors
3H,Honda
3JB,Bombardier Recreational Products
3MD,Mazda
3MZ,Mazda
3N,Nissan
3NE,Polaris Industries
3NS,Polaris Industries
3P3,Plymouth
3TM,Toyota
3VW,Volkswagen
46J,Federal Motors Inc.
4EN,Emergency One
4F,Mazda
4JG,Mercedes-Benz
4M,Mercury
4P1,Pierce Manufacturing Inc.
4RK,Nova Bus
4S,Subaru-Isuzu Automotive
4T1,Toyota
4T2,Toyota
4T3,Toyota
4T4,Toyota
4T5,Toyota
4T7,Toyota
4TA,Toyota
4TB,Toyota
4TD,Toyota
4TE,Toyota
4TF,Toyota
